p,q,edge_length_avg,edge_length_std,in_degree_avg,in_degree_std,out_degree_avg,out_degree_std,area_km,num_nodes,num_edges,central_sp_mean,central_sp_std
0.6,0.6,1.2636155233814457,0.19924854044384632,2.314836223506744,1.1817133972070912,2.314836223506744,1.2243166951791553,0.00025,2595,6007,32.728679483366896,14.607615581343884
0.6,0.6,1.2614970340902456,0.1998372317725711,2.219530658591976,1.1667666941393466,2.219530658591976,1.2250032393500487,0.000125,1321,2932,28.335322188668737,14.962682742524775
0.6,0.6,1.2588035330524643,0.2005509029148619,2.246242774566474,1.1780999148071452,2.246242774566474,1.224296560571882,8e-05,865,1943,25.47623250742793,12.71503752667204
0.6,0.6,1.2557343988343084,0.20131709717596186,2.1327300150829562,1.193446002757261,2.1327300150829562,1.1858388651018201,6e-05,663,1414,16.923806066410656,8.597955913942265
0.6,0.6,1.2483122137597182,0.20296633006464493,2.055357142857143,1.0948613158845315,2.055357142857143,1.1796518316340423,5e-05,560,1151,32.57527393528247,17.432722036588142
0.6,0.6,1.2454117971426804,0.20353364480118002,2.089519650655022,1.1740737260677767,2.089519650655022,1.1925255705910105,4e-05,458,957,20.14977436765368,11.826497593444007
0.6,0.6,1.2338302368235217,0.20537545065628263,2.1326781326781328,1.184290476722862,2.1326781326781328,1.258714469240203,3.5e-05,407,868,17.056308854854397,8.272153215788812
0.6,0.6,1.2305188521032877,0.2057792354656855,1.9382022471910112,1.0870024361401982,1.9382022471910112,1.209327570420529,3e-05,356,690,16.00394604247852,8.89268832290072
0.6,0.6,1.2248587910025375,0.2063445782203775,1.9508196721311475,1.0562263404384298,1.9508196721311475,1.176633562861587,2.5e-05,305,595,13.77318051492201,7.714105668352319
0.6,0.6,1.2618987582392285,0.1997274594644187,2.267924528301887,1.2093618440217637,2.267924528301887,1.1968155206757798,0.000125,1325,3005,25.857001830064963,11.4023431860481
0.6,0.6,1.2581330895948275,0.20072253152966063,2.1466666666666665,1.1715643230155837,2.1466666666666665,1.1550084174777449,6.25e-05,675,1449,0.7071067811865475,0.7071067811865475
0.6,0.6,1.2481748635966734,0.2029941659767778,2.126984126984127,1.1960715069069527,2.126984126984127,1.1979658580389339,4e-05,441,938,0.0,0.0
0.6,0.6,1.2549447237289453,0.20150620354411614,2.13905325443787,1.1671850740837826,2.13905325443787,1.1822960524944024,3e-05,338,723,16.21515472295013,6.765604739796978
0.6,0.6,1.2433679011249332,0.2039076996934312,2.0842105263157893,1.130096948749711,2.0842105263157893,1.202306186545252,2.5e-05,285,594,25.643755047558578,8.186821205451695
0.6,0.6,1.2413163834361114,0.2042618954366652,1.9145299145299146,1.0133523072839823,1.9145299145299146,1.1328252976907016,2e-05,234,448,11.66650263827048,5.291491370162705
0.6,0.6,1.236409659100232,0.20502331613606345,2.0048076923076925,1.1072210369010396,2.0048076923076925,1.257659594375777,1.75e-05,208,417,8.210364601675503,4.373235580583371
0.6,0.6,1.2198340135499666,0.20671535107441835,1.967032967032967,1.1187763080636826,1.967032967032967,1.1236767499924587,1.5e-05,182,358,8.056931951552125,4.807466811946259
0.6,0.6,1.2240400400256992,0.2064133802798132,2.0516129032258066,1.206399860887606,2.0516129032258066,1.2223380472557461,1.25e-05,155,318,7.182981065803222,3.8748686776866617
0.6,0.6,1.2546694064149773,0.2015713657611925,2.232638888888889,1.1325567106913892,2.232638888888889,1.1884083189551176,8e-05,864,1929,23.55160648142684,10.840927950133185
0.6,0.6,1.2476373555692915,0.20310216974138254,2.1040723981900453,1.1545823221623934,2.1040723981900453,1.1623940322288382,4e-05,442,930,12.870560682649812,4.842008102500993
0.6,0.6,1.2440070263096725,0.2037930095054926,2.1631944444444446,1.168643951087576,2.1631944444444446,1.17161133865204,2.56e-05,288,623,11.524788104140937,5.119980730568021
0.6,0.6,1.2453282043239795,0.20354935919034947,2.1085972850678734,1.1561240933691534,2.1085972850678734,1.285832415486797,1.92e-05,221,466,9.588818248718269,3.865334358573026
0.6,0.6,1.2245365598012572,0.20637204663155015,2.160427807486631,1.154362026679026,2.160427807486631,1.2262441369037875,1.6e-05,187,404,8.866108261217114,3.7509364470626614
0.6,0.6,1.2317464947039183,0.2056358512789888,2.0326797385620914,1.1226619897298766,2.0326797385620914,1.228306132955519,1.28e-05,153,311,9.194116703896364,4.749111437112808
0.6,0.6,1.2462891451948135,0.20336656845257595,1.9185185185185185,0.9664892699437092,1.9185185185185185,1.115890953466079,1.12e-05,135,259,5.723754345244845,2.954919371438727
0.6,0.6,1.2140103405594327,0.2069916898849747,2.0338983050847457,1.134454273266543,2.0338983050847457,1.2208097020589224,9.6e-06,118,240,8.249287175948833,4.677675170906739
0.6,0.6,1.2173595921363767,0.20685284305776305,1.9803921568627452,0.9998077477632911,1.9803921568627452,1.2908455365202185,8e-06,102,202,4.896075033130287,2.3939770301502
0.6,0.6,1.256022885582818,0.20124719512118844,2.1840120663650073,1.177690128628957,2.1840120663650073,1.203031946420292,6e-05,663,1448,22.328746368722218,13.727882931695882
0.6,0.6,1.2456315390855839,0.20349216653786245,2.121661721068249,1.1555720633431885,2.121661721068249,1.183481597951158,3e-05,337,715,15.30043015084169,8.199871103464885
0.6,0.6,1.2472783551235938,0.2031734811949457,2.0995475113122173,1.15302073217642,2.0995475113122173,1.1211862551705667,1.92e-05,221,464,18.50744413010674,10.764670955847745
0.6,0.6,1.2353486149847133,0.20517216584412537,2.0828402366863905,1.1585551006409862,2.0828402366863905,1.2518394434699536,1.44e-05,169,352,12.012878775086234,4.151277112612828
0.6,0.6,1.2360875935710132,0.20506908915531102,2.0489510489510487,1.1845666719948682,2.0489510489510487,1.1963152713114655,1.2e-05,143,293,7.862715972902778,3.4561917382257077
0.6,0.6,1.216270798053209,0.20690393811699198,1.9316239316239316,1.1747085161387127,1.9316239316239316,1.1149833905205402,9.6e-06,117,226,6.439468088164477,2.795571715321692
0.6,0.6,1.2301186457628308,0.20582437392635328,1.8529411764705883,1.0038851862280007,1.8529411764705883,1.06086404687479,8.4e-06,102,189,6.419890456965269,2.930207887890278
0.6,0.6,1.2221480557978612,0.20655986752396882,1.967032967032967,1.0319143572367895,1.967032967032967,1.2265429793659315,7.2e-06,91,179,5.731021853823553,2.856729124299026
0.6,0.6,1.2128597473306182,0.20702686345978794,1.8461538461538463,1.1331476817427875,1.8461538461538463,1.199112097547684,6e-06,78,144,5.796737780896478,2.658072249702562
0.6,0.6,1.2461268993811145,0.2033977610238975,2.213903743315508,1.145658744412615,2.213903743315508,1.2224369678912983,5e-05,561,1242,19.35219931504939,9.569950518931
0.6,0.6,1.241624578050972,0.20421004018676167,2.13986013986014,1.206633174085139,2.13986013986014,1.2493433161857004,2.5e-05,286,612,19.162365438743542,6.75798161932115
0.6,0.6,1.2547359892630405,0.20155564331335069,2.06951871657754,1.1793596029960929,2.06951871657754,1.2369019792749067,1.6e-05,187,387,7.891608939063024,3.539905999665563
0.6,0.6,1.2533677460563948,0.20187407446911862,2.0638297872340425,1.105837290414637,2.0638297872340425,1.244635387422099,1.2e-05,141,291,7.949664671029057,2.837484383354502
0.6,0.6,1.2278174593052025,0.2060686454202045,1.9834710743801653,1.1851942761858936,1.9834710743801653,1.1851942761858936,1e-05,121,240,10.255668415238475,5.688978533123926
0.6,0.6,1.2138602631817612,0.2069966407804552,1.8585858585858586,0.97452501779332,1.8585858585858586,1.2309977968955252,8e-06,99,184,8.818911968593056,6.289663363651959
0.6,0.6,1.2122844507162114,0.20704205020162955,1.8181818181818181,1.0928013891064825,1.8181818181818181,1.050383637117395,7e-06,88,160,9.079332695720252,3.678036910512717
0.6,0.6,1.2198518138749503,0.20671425435906454,1.6883116883116882,0.9294564849393708,1.6883116883116882,1.0842405955710026,6e-06,77,130,6.4495732781798365,3.2001666762822785
0.6,0.6,1.2011894445812177,0.20702223054771612,1.5909090909090908,1.0585477863459738,1.5909090909090908,0.9996555880731325,5e-06,66,105,6.278917745604902,3.8071136672505648
0.6,0.6,1.2361822472278556,0.20505569021105766,2.017429193899782,1.072391262826038,2.017429193899782,1.2098547478031003,4e-05,459,926,18.753521597046344,9.467956132480245
0.6,0.6,1.2431655511252768,0.2039435802469847,1.9227467811158798,1.04944179329351,1.9227467811158798,1.1244635193133048,2e-05,233,448,12.792394390775595,5.966380708846172
0.6,0.6,1.2283981325234825,0.2060094589374471,2.0980392156862746,1.1419780218479243,2.0980392156862746,1.2616241523251304,1.28e-05,153,321,8.821540540993398,4.235074862314466
0.6,0.6,1.2344272501941351,0.20529688450304837,2.0085470085470085,1.0252848384361044,2.0085470085470085,1.2299379909025536,9.6e-06,117,235,2.1213203435596424,1.5811388300841895
0.6,0.6,1.2295926602868015,0.20588250060299265,1.7857142857142858,1.1715156762040517,1.7857142857142858,0.9923174278178432,8e-06,98,175,7.12438007276165,2.7662546250750757
0.6,0.6,1.2341207091674016,0.2053374454611183,1.9876543209876543,1.1275870354351052,1.9876543209876543,1.2520977672600593,6.4e-06,81,161,7.345994139466106,2.703283510870534
0.6,0.6,1.2055258133912303,0.2071007468704125,1.8194444444444444,1.0318051722976809,1.8194444444444444,1.0970463994148723,5.6e-06,72,131,5.387699611181258,3.1532283781114145
0.6,0.6,1.1797530553694564,0.2052924560167175,1.7377049180327868,1.158031672947499,1.7377049180327868,1.158031672947499,4.8e-06,61,106,6.727022713276175,4.789810645211234
0.6,0.6,1.183620445175702,0.20577077254614698,1.7962962962962963,0.8023029267568322,1.7962962962962963,0.9695288972376611,4e-06,54,97,6.663408927539445,3.080764137203222
0.6,0.6,1.2282941756813353,0.2060201765069983,1.9308641975308642,1.1675279334494955,1.9308641975308642,1.1590376995443663,3.5e-05,405,782,11.343655941574506,8.57495217658021
0.6,0.6,1.2286039407527465,0.20598808447101474,1.8990384615384615,1.0938635824371559,1.8990384615384615,1.1537560060938503,1.75e-05,208,395,8.610312192913886,4.560893330471778
0.6,0.6,1.223038072047051,0.20649313011567852,2.0073529411764706,1.1014450637111697,2.0073529411764706,1.1599716244590526,1.12e-05,136,273,8.195448813065019,4.207640135416181
0.6,0.6,1.2103260575780486,0.20708175939219667,1.8737864077669903,1.1119790077162692,1.8737864077669903,1.1715031556503577,8.4e-06,103,193,0.7071067811865475,0.7071067811865475
0.6,0.6,1.2191323362231858,0.2067573574011655,1.7816091954022988,1.03307695028144,1.7816091954022988,1.1589262505303426,7e-06,87,155,6.545422020683487,3.130626761518288
0.6,0.6,1.2071067811865475,0.20710678118654757,1.9444444444444444,0.941170797005412,1.9444444444444444,1.1772011166898384,5.6e-06,72,140,5.573858712773994,2.458780374937445
0.6,0.6,1.207106781186548,0.2071067811865476,1.71875,1.0378576190884758,1.71875,1.1383753500054365,4.9e-06,64,110,4.806531983096445,2.4294641329852236
0.6,0.6,1.2146379368660585,0.20696980578718108,1.9642857142857142,1.1174634176544296,1.9642857142857142,1.2095495872768642,4.2e-06,56,110,4.567152473348841,2.482362818912304
0.6,0.6,1.2114215057946007,0.20706183126063857,2.0,1.1547005383792515,2.0,1.35400640077266,3.5e-06,48,96,0.7071067811865475,0.7071067811865475
0.6,0.6,1.2297218894770328,0.20586834552806343,1.949579831932773,1.0412936860202455,1.949579831932773,1.1560248184540696,3e-05,357,696,15.539249628963653,8.25239010085134
0.6,0.6,1.2230380720470515,0.2064931301156785,1.867403314917127,1.01594383506723,1.867403314917127,1.0944805765132162,1.5e-05,181,338,9.27703792867052,5.951509413039931
0.6,0.6,1.2090423585808145,0.20709773623485922,1.7983193277310925,1.0657370663857273,1.7983193277310925,1.1270533599528734,9.6e-06,119,214,9.471297731101519,5.53391821658395
0.6,0.6,1.2234242851588208,0.20646296974897782,1.8131868131868132,1.0045182313869396,1.8131868131868132,1.0783798176129313,7.2e-06,91,165,5.832679893508758,2.4699982347566722
0.6,0.6,1.229456433832578,0.20589733325143939,1.8051948051948052,1.081592873436728,1.8051948051948052,1.0815928734367282,6e-06,77,139,5.2014996856583835,2.070774437782035
0.6,0.6,1.1991411357562958,0.20695353900412528,1.6774193548387097,1.2151489162475717,1.6774193548387097,0.9465419839433038,4.8e-06,62,104,5.157956407025639,2.1865568349751094
0.6,0.6,1.198102138526263,0.20691093548677672,1.7037037037037037,1.0297362055153958,1.7037037037037037,1.0650965810776596,4.2e-06,54,92,4.618768764938604,1.8369987725595942
0.6,0.6,1.2097283860116939,0.20709018808623758,1.6122448979591837,0.8763636960646485,1.6122448979591837,1.026512354282391,3.6e-06,49,79,5.552780412790947,2.5247101674779806
0.6,0.6,1.2098682049357015,0.20708837087661416,1.7857142857142858,1.0359195198955757,1.7857142857142858,1.1027177311342298,3e-06,42,75,3.7141504294495524,1.7370293384977669
0.6,0.6,1.2340590335327422,0.20534555000515484,1.9210526315789473,1.0700855584919715,1.9210526315789473,1.1529499680423536,2.5e-05,304,584,14.43009564918731,7.982217768141202
0.6,0.6,1.2034733288850292,0.20707490634508346,1.8387096774193548,0.9803480025151171,1.8387096774193548,1.1611110972809313,1.25e-05,155,285,10.33903413195882,4.546896268336778
0.6,0.6,1.2048055947289193,0.2070939964227349,1.7647058823529411,0.909389696102371,1.7647058823529411,1.0017286097603764,8e-06,102,180,7.238913592069393,3.934817742498712
0.6,0.6,1.2301186457628306,0.2058243739263533,1.9615384615384615,1.1923076923076923,1.9615384615384615,1.285444228236031,6e-06,78,153,6.7502100786746,3.125639226410112
0.6,0.6,1.2036550015001053,0.20707801435799206,1.8181818181818181,1.0997119582802457,1.8181818181818181,1.0997119582802457,5e-06,66,120,5.832761677523423,2.735406504597429
0.6,0.6,1.1826102801859881,0.20565296071825,1.7222222222222223,1.1453071182271282,1.7222222222222223,1.1124991330278216,4e-06,54,93,3.7590220368106815,2.230950214627682
0.6,0.6,1.185865060039209,0.20601458224152777,1.625,0.8809322713277489,1.625,1.1479147761629926,3.5e-06,48,78,0.0,0.0
0.6,0.6,1.1694510027889933,0.2036547597448358,1.5714285714285714,0.8206518066482898,1.5714285714285714,0.9035079029052513,3e-06,42,66,5.605114633949046,2.5749946735024936
0.6,0.6,1.174405710472882,0.20450882325130218,1.5833333333333333,1.0374916331657278,1.5833333333333333,1.1149240133549712,2.5e-06,36,57,5.406624059209569,3.0958015013577134
